Timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
20210519121932,162,270,539,754,861,1076,216,216,1671,916.5
20210519122030,535,162,695,802,429,537,0,54,861,458
20210519122031,377,1131,592,698,1453,1560,969,0,1830,969
20210519122130,0,323,160,267,645,698,539,323.5,1024,565.5
Timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
20210519122432,855,1285,107,321,1930,-2,915,0,538,377
20210519122530,54,1176,270,377,1499,1607,649,378.5,1880,994
20210519122531,0,53,160,213,323,430,540,323.5,755,405
Timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
20210519122532,379,1609,756,972,52,213,432,323.5,810,513
20210519122630,587,1335,749,856,1605,1712,54,81,2000,0
20210519122630,587,1335,749,856,1605,1712,54,81,2000,0
20210519122631,433,162,648,755,485,539,1000,0,865,486
20210519122631,433,162,648,755,485,539,1000,0,865,486
20210519122730,0,1497,214,322,1766,1873,594,351,54,81
20210519122730,0,1497,214,322,1766,1873,594,351,54,81
20210519122830,535,1656,750,857,1979,-2,54,54.5,217,162.5
20210519122830,535,1656,750,857,1979,-2,54,54.5,217,162.5
20210519122930,0,1870,215,268,-1,106,594,351,431,270
20210519122930,0,1870,215,268,-1,106,594,351,431,270
20210519123030,534,2000,749,856,215,323,0,54,596,352
20210519123030,534,2000,749,856,215,323,0,54,596,352
20210519123031,432,919,594,700,1189,1296,1000,0,1622,838
20210519123031,432,919,594,700,1189,1296,1000,0,1622,838
20210519123130,0,54,161,268,377,484,594,324.5,757,432.5
20210519123130,0,54,161,268,377,484,594,324.5,757,432.5
20210519123131,973,1081,53,160,1351,1458,433,270.5,1784,946
20210519123131,973,1081,53,160,1351,1458,433,270.5,1784,946
20210519123230,534,322,696,804,592,699,0,54,1024,539.5
20210519123230,534,322,696,804,592,699,0,54,1024,539.5
20210519123231,379,1295,594,700,1618,1724,973,0,1997,0
20210519123231,379,1295,594,700,1618,1724,973,0,1997,0
20210519123330,0,483,160,213,752,859,539,323.5,1185,646.5
20210519123330,0,483,160,213,752,859,539,323.5,1185,646.5
20210519123430,480,643,696,802,965,1019,0,27,1346,727
20210519123430,480,643,696,802,965,1019,0,27,1346,727
20210519123431,378,1670,539,646,1939,1998,972,0,217,136
20210519123431,378,1670,539,646,1939,1998,972,0,217,136
20210519123530,1000,803,107,214,1126,1233,487,297.5,1506,807
20210519123530,1000,803,107,214,1126,1233,487,297.5,1506,807
20210519123531,918,1829,-1,52,-1,52,378,243,378,216
20210519123531,918,1829,-1,52,-1,52,378,243,378,216
20210519123630,429,964,644,751,1286,1393,1000,0,1666,887
20210519123630,429,964,644,751,1286,1393,1000,0,1666,887
20210519123631,324,1990,539,593,107,214,919,500,539,324
20210519123631,324,1990,539,593,107,214,919,500,539,324
20210519123731,0,1229,161,268,1551,1658,540,324,1931,1000
20210519123731,0,1229,161,268,1551,1658,540,324,1931,1000
20210519123830,482,1336,643,697,1606,1713,1000,0,2000,0
20210519123830,482,1336,643,697,1606,1713,1000,0,2000,0
20210519123831,271,162,486,593,485,592,865,486.5,864,486
20210519123831,271,162,486,593,485,592,865,486.5,864,486
20210519123930,1000,1497,52,159,1767,1874,432,270,54,81
20210519123930,1000,1497,52,159,1767,1874,432,270,54,81
20210519123931,864,325,999,-2,648,755,324,189,1028,568
20210519123931,864,325,999,-2,648,755,324,189,1028,568
20210519124030,427,1657,589,696,1980,1998,969,0,215,161.5
20210519124030,427,1657,589,696,1980,1998,969,0,215,161.5
20210519124031,269,539,431,538,809,916,863,485.5,1188,648
20210519124031,269,539,431,538,809,916,863,485.5,1188,648
20210519124131,1000,1924,107,214,107,215,487,297.5,487,297.5
20210519124131,1000,1924,107,214,107,215,487,297.5,487,297.5
20210519124230,429,2000,591,644,161,268,970,0,594,351.5
20210519124230,429,2000,591,644,161,268,970,0,594,351.5
20210519124231,215,865,431,538,1188,1295,811,459.5,1568,838
20210519124231,215,865,431,538,1188,1295,811,459.5,1568,838
20210519124331,1000,161,107,215,431,539,488,297.5,864,486
20210519124331,1000,161,107,215,431,539,488,297.5,864,486
20210519124431,428,322,643,750,645,752,1000,0,1024,566
20210519124431,428,322,643,750,645,752,1000,0,1024,566
20210519124530,962,429,-1,53,699,806,379,243,1132,620
20210519124530,962,429,-1,53,699,806,379,243,1132,620
20210519124531,757,1403,973,-2,1726,1833,215,161.5,0,27
20210519124531,757,1403,973,-2,1726,1833,215,161.5,0,27
20210519124631,428,697,643,696,966,1073,1000,0,1399,754
20210519124631,428,697,643,696,966,1073,1000,0,1399,754
20210519124731,962,856,53,160,1179,1232,432,269.5,1557,832.5
20210519124731,962,856,53,160,1179,1232,432,269.5,1557,832.5
20210519124830,374,963,482,589,1232,1339,914,500,1666,860
20210519124830,374,963,482,589,1232,1339,914,500,1666,860
20210519124831,163,1937,378,484,107,214,757,432.5,487,297.5
20210519124831,163,1937,378,484,107,214,757,432.5,487,297.5
20210519124931,962,1230,52,106,1500,1607,432,270,1933,1000
20210519124931,962,1230,52,106,1500,1607,432,270,1933,1000
20210519125031,374,1390,589,696,1660,1767,968,0,0,26.5
20210519125031,374,1390,589,696,1660,1767,968,0,0,26.5
20210519125130,908,1549,-1,106,1872,1979,432,243.5,108,108
20210519125130,908,1549,-1,106,1872,1979,432,243.5,108,108
20210519125231,374,1765,589,643,1999,-2,969,0,324,216
20210519125231,374,1765,589,643,1999,-2,969,0,324,216
20210519125330,908,1924,-1,106,107,160,378,243,486,296.5
20210519125330,908,1924,-1,106,107,160,378,243,486,296.5
20210519125430,374,0,536,643,270,377,969,0,650,378.5
20210519125430,374,0,536,643,270,377,969,0,650,378.5
20210519125530,908,162,-1,105,431,538,378,243,864,486
20210519125530,908,162,-1,105,431,538,378,243,864,486
20210519125630,321,322,536,643,644,751,968,500,1024,566
20210519125630,321,322,536,643,644,751,968,500,1024,566
20210519125730,909,535,-1,51,805,912,377,242.5,1238,646
20210519125730,909,535,-1,51,805,912,377,242.5,1238,646
20210519125731,755,1508,970,-2,1831,1938,216,162,54,81
20210519125731,755,1508,970,-2,1831,1938,216,162,54,81
20210519125830,322,697,537,590,966,1073,916,500,1399,727
20210519125830,322,697,537,590,966,1073,916,500,1399,727
20210519125831,163,1670,378,485,1992,-2,757,432.5,216,162
20210519125831,163,1670,378,485,1992,-2,757,432.5,216,162
20210519125930,855,856,-1,-2,1126,1233,324,216,1558,833.5
20210519125930,855,856,-1,-2,1126,1233,324,216,1558,833.5
20210519130030,267,1016,482,589,1339,1446,861,485,1718,913
20210519130030,267,1016,482,589,1339,1446,861,485,1718,913
20210519130130,854,1230,999,-2,1500,1607,323,215.5,1933,993.5
20210519130130,854,1230,999,-2,1500,1607,323,215.5,1933,993.5
20210519130131,702,53,917,998,376,429,162,135,755,431.5
20210519130131,702,53,917,998,376,429,162,135,755,431.5
20210519130230,268,1391,429,537,1660,1767,862,485,0,0
20210519130230,268,1391,429,537,1660,1767,862,485,0,0
20210519130231,108,216,323,430,538,646,702,405,918,513
20210519130231,108,216,323,430,538,646,702,405,918,513
20210519130330,802,1550,999,-2,1820,1927,270,189,108,108
20210519130330,802,1550,999,-2,1820,1927,270,189,108,108
20210519130430,213,1710,428,535,1999,-2,861,458,271,189.5
20210519130430,213,1710,428,535,1999,-2,861,458,271,189.5
20210519130431,108,595,322,430,865,971,702,405,1297,702.5
20210519130431,108,595,322,430,865,971,702,405,1297,702.5
20210519130530,802,1872,964,-2,53,160,270,189,432,270
20210519130530,802,1872,964,-2,53,160,270,189,432,270
20210519130531,648,756,863,970,1079,1133,108,107.5,1458,783
20210519130531,648,756,863,970,1079,1133,108,107.5,1458,783
20210519130630,215,0,376,483,215,322,809,458.5,648,351
20210519130630,215,0,376,483,215,322,809,458.5,648,351
20210519130631,54,918,269,376,1241,1348,648,378,1620,864
20210519130631,54,918,269,376,1241,1348,648,378,1620,864
20210519130730,747,109,963,-2,379,486,216,162,812,460
20210519130730,747,109,963,-2,379,486,216,162,812,460
20210519130830,160,269,376,483,591,646,755,431.5,971,539.5
20210519130830,160,269,376,483,591,646,755,431.5,971,539.5
20210519130831,55,1296,216,324,1566,1672,649,378.5,1998,1000
20210519130831,55,1296,216,324,1566,1672,649,378.5,1998,1000
20210519130930,695,429,910,998,752,858,162,135,1131,619.5
20210519130930,695,429,910,998,752,858,162,135,1131,619.5
20210519130931,594,1455,810,863,1726,1832,53,80.5,0,27.5
20210519130931,594,1455,810,863,1726,1832,53,80.5,0,27.5
20210519131030,160,589,322,429,912,1019,702,405,1291,699.5
20210519131030,160,589,322,429,912,1019,702,405,1291,699.5
20210519131031,0,1615,216,269,1886,1993,596,351.5,161,134.5
20210519131031,0,1615,216,269,1886,1993,596,351.5,161,134.5
